date,home,away,goals_home,goals_away,season,delta,year,home__val,away__val,home__scored,home__suffered,home__delta_minus_1,home__delta_minus_2,home__delta_minus_3,home__delta_minus_4,home__avg_scored_3,home__avg_suffered_3,home__avg_scored_5,home__avg_suffered_5,away__scored,away__suffered,away__delta_minus_1,away__delta_minus_2,away__delta_minus_3,away__delta_minus_4,away__avg_scored_3,away__avg_suffered_3,away__avg_scored_5,away__avg_suffered_5
2019-08-18,Vit. Guimarães,Boavista,1,1,2019,0,2019,43680,17650,1,1,0,0,0,0,0.0,1.3333333333333333,0.0,1.6,1,1,0,1,1,0,1.6666666666666665,1.0,0.0,1.0
2019-08-18,Vit. Guimarães,Boavista,1,1,2019,0,2019,43680,17650,1,1,0,0,0,0,0.0,1.3333333333333333,0.0,1.6,1,1,1,1,0,0,0.0,0.6666666666666666,0.0,0.8
2019-08-18,Sporting CP,Braga,2,1,2019,1,2019,215830,92550,2,1,1,0,0,0,1.3333333333333333,1.0,0.0,1.2,1,2,-1,2,2,0,2.333333333333333,1.3333333333333333,0.0,1.6
2019-08-18,Sporting CP,Braga,2,1,2019,1,2019,215830,92550,2,1,1,0,0,0,1.3333333333333333,1.0,0.0,1.2,1,2,2,2,0,0,0.0,0.6666666666666666,0.0,1.4000000000000001
2019-08-18,Sporting CP,Braga,2,1,2019,1,2019,215830,92550,2,1,0,0,0,0,0.0,1.3333333333333333,0.0,1.2,1,2,-1,2,2,0,2.333333333333333,1.3333333333333333,0.0,1.6
2019-08-18,Sporting CP,Braga,2,1,2019,1,2019,215830,92550,2,1,0,0,0,0,0.0,1.3333333333333333,0.0,1.2,1,2,2,2,0,0,0.0,0.6666666666666666,0.0,1.4000000000000001
2019-08-19,Tondela,Portimonense,1,2,2019,-1,2019,11050,19150,1,2,-1,0,0,0,0.3333333333333333,0.6666666666666666,0.0,1.0,2,1,1,0,0,0,0.6666666666666666,0.3333333333333333,0.0,1.0
2019-08-19,Tondela,Portimonense,1,2,2019,-1,2019,11050,19150,1,2,-1,0,0,0,0.3333333333333333,0.6666666666666666,0.0,1.0,2,1,0,0,0,0,0.0,0.6666666666666666,0.0,1.8
2019-08-19,Tondela,Portimonense,1,2,2019,-1,2019,11050,19150,1,2,0,0,0,0,0.0,0.6666666666666666,0.0,1.2000000000000002,2,1,1,0,0,0,0.6666666666666666,0.3333333333333333,0.0,1.0
2019-08-19,Tondela,Portimonense,1,2,2019,-1,2019,11050,19150,1,2,0,0,0,0,0.0,0.6666666666666666,0.0,1.2000000000000002,2,1,0,0,0,0,0.0,0.6666666666666666,0.0,1.8
2019-08-23,Vitória Setúbal,Moreirense ,0,0,2019,0,2019,12480,0,0,0,0,-4,-4,0,0.0,2.6666666666666665,0.0,1.6,0,0,0,-2,-2,0,0.6666666666666666,2.0,0.0,1.8000000000000003
2019-08-23,Vitória Setúbal,Moreirense ,0,0,2019,0,2019,12480,0,0,0,0,-4,-4,0,0.0,2.6666666666666665,0.0,1.6,0,0,-2,-2,0,0,0.0,2.0,0.0,2.0000000000000004
2019-08-23,Vitória Setúbal,Moreirense ,0,0,2019,0,2019,12480,0,0,0,-4,-4,0,0,0.0,2.6666666666666665,0.0,2.2,0,0,0,-2,-2,0,0.6666666666666666,2.0,0.0,1.8000000000000003
2019-08-23,Vitória Setúbal,Moreirense ,0,0,2019,0,2019,12480,0,0,0,-4,-4,0,0,0.0,2.6666666666666665,0.0,2.2,0,0,-2,-2,0,0,0.0,2.0,0.0,2.0000000000000004
